X1,Y1
0.521,-5.76828886
0.523,-5.66554908
0.5251,-5.5628093
0.5271,-5.46006951
0.5291,-5.35732927
0.5311,-5.26655745
0.5331,-5.18055446
0.5351,-5.09455148
0.5371,-5.0085485
0.5391,-4.92254552
0.5411,-4.82389377
0.5431,-4.72449977
0.5451,-4.62510623
0.5471,-4.52571176
0.5491,-4.4138236
0.5511,-4.26465645
0.5531,-4.11548931
0.5551,-3.96632217
0.5571,-3.81715503
0.5591,-3.64937959
0.5611,-3.47082317
0.5631,-3.29226698
0.5651,-3.11371079
0.5671,-2.93568103
0.5691,-2.76299077
0.5711,-2.59030098
0.5731,-2.41761096
0.5752,-2.24492047
0.5772,-2.0895917
0.5792,-1.94491982
0.5812,-1.80024805
0.5832,-1.65557628
0.5852,-1.51275925
0.5872,-1.37645833
0.5892,-1.24015741
0.5912,-1.10385637
0.5932,-0.967555563
0.5952,-0.815026695
0.5972,-0.660583028
0.5992,-0.50613936
0.6012,-0.351695693
0.6032,-0.213423569
0.6052,-0.08436288
0.6072,0.044697794
0.6092,0.173758483
0.6112,0.272706937
0.6132,0.334612268
0.6152,0.396517571
0.6172,0.458422932
0.6192,0.498318172
0.6212,0.492964813
0.6232,0.487611484
0.6253,0.482258183
0.6273,0.463687
0.6293,0.409834844
0.6313,0.355982629
0.6333,0.302130444
0.6353,0.242501395
0.6373,0.16825246
0.6393,0.094003517
0.6413,0.019754583
0.6433,-0.052154792
0.6453,-0.119872966
0.6473,-0.18759114
0.6493,-0.255309307
0.6513,-0.310289382
0.6533,-0.352353818
0.6553,-0.394418254
0.6573,-0.43648266
0.6593,-0.453134562
0.6613,-0.458745635
0.6633,-0.464356621
0.6653,-0.469967636
0.6673,-0.440125936
0.6693,-0.408767432
0.6713,-0.377408927
0.6733,-0.338951679
0.6754,-0.282335473
0.6774,-0.225719239
0.6794,-0.169103019
0.6814,-0.104840015
0.6834,-0.036679681
0.6854,0.031480664
0.6874,0.099764875
0.6894,0.169138133
0.6914,0.238511391
0.6934,0.307884649
0.6954,0.374479161
0.6974,0.43921516
0.6994,0.50395116
0.7014,0.567684881
0.7034,0.625862798
0.7054,0.684040715
0.7074,0.74221869
0.7094,0.795755128
0.7114,0.847841904
0.7134,0.899928738
0.7154,0.950057758
0.7174,0.997547642
0.7194,1.04503753
0.7214,1.09218305
0.7234,1.13727432
0.7255,1.18236546
0.7275,1.22745673
0.7295,1.27186347
0.7315,1.31620583
0.7335,1.36054808
0.7355,1.4049015
0.7375,1.44925911
0.7395,1.49361661
0.7415,1.53886271
0.7435,1.5846754
0.7455,1.63048785
0.7475,1.6772605
0.7495,1.72486762
0.7515,1.77247473
0.7535,1.8199028
0.7555,1.86715857
0.7575,1.91441388
0.7595,1.9602438
0.7615,2.00481783
0.7635,2.04939186
0.7655,2.09041755
0.7675,2.12910073
0.7695,2.16778414
0.7715,2.19961419
0.7735,2.22878298
0.7756,2.25795177
0.7776,2.27505737
0.7796,2.29059113
0.7816,2.30447645
0.7836,2.30264198
0.7856,2.30080751
0.7876,2.29537045
0.7896,2.28324346
0.7916,2.27111625
0.7936,2.25822488
0.7956,2.24492094
0.7976,2.23161723
0.7996,2.21878593
0.8016,2.20595812
0.8036,2.19343323
0.8056,2.18140613
0.8076,2.16937903
0.8096,2.15567579
0.8116,2.14156928
0.8136,2.12516496
0.8156,2.10271776
0.8176,2.08027102
0.8196,2.04799254
0.8216,2.01303419
0.8236,1.97450793
0.8257,1.92893599
0.8277,1.88336405
0.8297,1.83255062
0.8317,1.78131857
0.8337,1.72853167
0.8357,1.67449703
0.8377,1.619883
0.8397,1.56323542
0.8417,1.50658796
0.8437,1.44865829
0.8457,1.39062665
0.8477,1.33316638
0.8497,1.27598993
0.8517,1.21919799
0.8537,1.16288348
0.8557,1.10610505
0.8577,1.04800658
0.8597,0.989219872
0.8617,0.924811116
0.8637,0.860402302
0.8657,0.78395789
0.8677,0.707426923
0.8697,0.616296427
0.8717,0.523736293
0.8737,0.420436962
0.8758,0.315422774
0.8778,0.214318396
0.8798,0.113921094
0.8818,0.046359641
0.8838,-0.016028629
0.8858,-0.003529665
0.8878,0.01611321
0.8898,0.156319991
0.8918,0.311675278
0.8938,0.589544419
0.8958,0.897278369
0.8978,1.29620102
0.8998,1.72714447
0.9018,2.2025723
0.9038,2.68416526
0.9058,3.16953845
0.9078,3.5956495
0.9098,3.99447326
0.9118,4.25566826
0.9138,4.42387583
0.9158,4.45026532
0.9178,4.26255167
0.9198,3.96900158
0.9218,3.33816465
0.9238,2.54125707
0.9259,1.51576963
0.9279,0.151971588
0.9299,-1.38884305
0.9319,-3.25458101
0.9339,-5.41413529
0.9359,-7.77713582
0.9379,-10.5076712
0.9399,-13.5229882
0.9419,-16.7673156
0.9439,-20.3804504
0.9459,-24.3153963
0.9479,-28.508395
0.9499,-33.031106
0.9519,-37.9606709
0.9539,-43.1802459
0.9559,-48.7023629
0.9579,-54.6487123
0.9599,-60.9756485
0.9619,-67.6378682
0.9639,-74.6484324
0.9659,-82.0816904
0.9679,-89.9627134
0.9699,-98.2259586
0.9719,-106.886856
0.9739,-115.962461
0.976,-125.489414
0.978,-135.563523
0.98,-146.129817
0.982,-157.23747
0.984,-168.95324
0.986,-181.359172
0.988,-194.492996
0.99,-207.966968
0.992,-219.482392
0.994,-221.313417
0.996,-200.502411
0.998,-147.107467
1,-0.017530647
