Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,275.950012,282.000000,271.100006,273.350006,273.350006,424801
2023-01-27,274.799988,281.450012,260.600006,276.799988,276.799988,624713
2023-01-30,275.549988,278.500000,265.000000,268.600006,268.600006,329684
2023-01-31,270.450012,289.000000,267.799988,285.700012,285.700012,590182
2023-02-01,286.200012,288.799988,268.100006,270.200012,270.200012,655163
2023-02-02,270.700012,278.799988,270.500000,272.649994,272.649994,236768
2023-02-03,274.049988,275.000000,266.100006,272.049988,272.049988,302267
2023-02-06,272.500000,274.549988,269.000000,270.200012,270.200012,226354
2023-02-07,271.600006,271.600006,264.000000,265.250000,265.250000,351039
2023-02-08,266.549988,267.649994,263.100006,265.000000,265.000000,230979
2023-02-09,266.350006,266.700012,262.000000,263.200012,263.200012,233142
2023-02-10,265.500000,281.899994,262.600006,279.399994,279.399994,1072148
