Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,513.400024,516.549988,498.000000,503.600006,503.600006,386322
2023-01-27,512.000000,512.000000,498.500000,501.500000,501.500000,182753
2023-01-30,502.000000,502.750000,481.549988,489.600006,489.600006,198668
2023-01-31,490.000000,509.000000,490.000000,500.450012,500.450012,281498
2023-02-01,525.000000,529.000000,496.850006,501.700012,501.700012,1639286
2023-02-02,501.700012,531.849976,501.700012,516.750000,516.750000,1130616
2023-02-03,518.299988,519.950012,505.149994,511.950012,511.950012,363159
2023-02-06,514.500000,534.500000,512.400024,523.200012,523.200012,344119
2023-02-07,525.700012,535.000000,525.700012,530.950012,530.950012,197614
2023-02-08,529.849976,534.750000,527.500000,530.950012,530.950012,153098
2023-02-09,530.950012,545.000000,529.500000,540.849976,540.849976,376354
2023-02-10,540.849976,543.400024,532.549988,535.650024,535.650024,302634
