Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,30.200001,30.750000,29.650000,30.250000,30.250000,34130020
2023-01-27,30.500000,30.500000,27.650000,28.400000,28.400000,21654764
2023-01-30,27.600000,29.250000,27.299999,28.350000,28.350000,25972880
2023-01-31,28.650000,30.150000,28.350000,29.650000,29.650000,25925484
2023-02-01,30.200001,30.500000,26.900000,28.650000,28.650000,23084638
2023-02-02,28.549999,29.100000,27.700001,28.049999,28.049999,18494674
2023-02-03,28.299999,28.549999,26.750000,28.049999,28.049999,18388747
2023-02-06,28.049999,28.450001,27.500000,27.650000,27.650000,12366432
2023-02-07,27.850000,27.900000,27.000000,27.100000,27.100000,10032726
2023-02-08,27.100000,28.500000,27.100000,28.250000,28.250000,15601306
2023-02-09,28.200001,28.200001,27.500000,27.600000,27.600000,8701890
2023-02-10,27.500000,29.400000,27.299999,28.150000,28.150000,33077692
