Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,1900.000000,1912.449951,1840.000000,1857.800049,1857.800049,1219566
2023-01-27,1780.000000,1796.400024,1486.250000,1486.250000,1486.250000,5838601
2023-01-30,1325.000000,1599.800049,1189.000000,1189.000000,1189.000000,12185306
2023-01-31,1135.000000,1240.000000,1081.099976,1223.900024,1223.900024,11356550
2023-02-01,1278.900024,1285.000000,1101.550049,1155.349976,1155.349976,5928882
2023-02-02,1039.849976,1039.849976,1039.849976,1039.849976,1039.849976,509110
2023-02-03,935.900024,935.900024,935.900024,935.900024,935.900024,369006
2023-02-06,889.099976,889.099976,889.099976,889.099976,889.099976,290650
2023-02-07,844.650024,933.549988,844.650024,844.650024,844.650024,14239086
2023-02-08,831.000000,869.799988,802.450012,802.450012,802.450012,11524691
2023-02-09,770.049988,798.950012,762.349976,762.349976,762.349976,4729491
2023-02-10,732.000000,744.000000,724.250000,724.250000,724.250000,2074917
