Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,346.000000,346.149994,333.399994,336.450012,336.450012,248218
2023-01-27,337.950012,341.799988,321.000000,335.799988,335.799988,398638
2023-01-30,335.100006,349.799988,333.200012,346.950012,346.950012,405401
2023-01-31,347.799988,365.000000,345.799988,361.450012,361.450012,716218
2023-02-01,361.000000,364.600006,334.450012,340.500000,340.500000,711246
2023-02-02,340.049988,347.000000,330.549988,331.399994,331.399994,358718
2023-02-03,333.049988,333.100006,325.549988,330.049988,330.049988,204719
2023-02-06,331.200012,333.350006,327.850006,330.149994,330.149994,149963
2023-02-07,331.850006,336.500000,328.450012,330.850006,330.850006,299935
2023-02-08,332.700012,336.500000,332.000000,333.250000,333.250000,156890
2023-02-09,334.399994,335.350006,329.000000,330.649994,330.649994,109748
2023-02-10,333.750000,338.549988,328.250000,330.200012,330.200012,283003
