ticker
3MINDIA
AARTIIND
AAVAS
ABB
ABBOTINDIA
ABCAPITAL
ABFRL
ABSLAMC
ACC
ADANIENT
ADANIGREEN
ADANIPORTS
ADANIPOWER
ADANITRANS
AEGISCHEM
AETHER
AFFLE
AIAENG
AJANTPHARM
AKZOINDIA
ALKEM
ALKYLAMINE
ALLCARGO
ALOKINDS
AMARAJABAT
AMBER
AMBUJACEM
ANGELONE
ANURAS
APARINDS
APLAPOLLO
APLLTD
APOLLOHOSP
APOLLOTYRE
APTUS
ASAHIINDIA
ASHOKLEY
ASIANPAINT
ASTERDM
ASTRAL
ASTRAZEN
ATGL
ATUL
AUBANK
AUROPHARMA
AVANTIFEED
AWL
AXISBANK
BAJAJ-AUTO
BAJAJELEC
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BALAMINES
BALKRISIND
BALRAMCHIN
BANDHANBNK
BANKBARODA
BANKINDIA
BASF
BATAINDIA
BAYERCROP
BBTC
BCG
BDL
BEL
BEML
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BIRLACORPN
BLS
BLUEDART
BLUESTARCO
BORORENEW
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSE
BSOFT
CAMPUS
CAMS
CANBK
CANFINHOME
CAPLIPOINT
CARBORUNIV
CASTROLIND
CCL
CDSL
CEATLTD
CENTRALBK
CENTURYPLY
CENTURYTEX
CERA
CESC
CGCL
CGPOWER
CHALET
CHAMBLFERT
CHEMPLASTS
CHOLAFIN
CHOLAHLDNG
CIPLA
CLEAN
CMSINFO
COALINDIA
COCHINSHIP
COFORGE
COLPAL
CONCOR
COROMANDEL
CRAFTSMAN
CREDITACC
CRISIL
CROMPTON
CUB
CUMMINSIND
CYIENT
DABUR
DALBHARAT
DATAPATTNS
DCMSHRIRAM
DEEPAKFERT
DEEPAKNTR
DELHIVERY
DELTACORP
DEVYANI
DIVISLAB
DIXON
DLF
DMART
DRREDDY
ECLERX
EDELWEISS
EICHERMOT
EIDPARRY
EIHOTEL
ELECON
ELGIEQUIP
EMAMILTD
ENDURANCE
EPL
EQUITASBNK
ERIS
ESABINDIA
ESCORTS
EXIDEIND
FACT
FEDERALBNK
FINCABLES
FINEORG
FINPIPE
FLUOROCHEM
FORTIS
FSL
GAEL
GAIL
GALAXYSURF
GARFIBRES
GESHIP
GHCL
GICRE
GILLETTE
GLAND
GLAXO
GLENMARK
GLS
GMDCLTD
GMMPFAUDLR
GMRINFRA
GNFC
GOCOLORS
