Time,101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),110 (C),111 (C),112 (C),113 (C),114 (C),115 (C),Temp,%RH
0,35.957416,36.008856,35.998381,35.963686,35.905152,35.885496,35.773141,35.77952,35.76286,33.813566,34.251,34.084077,34.011835,33.811097,34.24352,34.7,92.925712
0.25,35.957416,36.000543,36.011926,35.974072,35.907229,35.885496,35.776258,35.796157,35.759743,33.157107,33.53312,32.958689,33.172889,33.359436,33.024438,34.6,93.137796
0.5,35.97301,36.011973,36.028596,35.980304,35.910344,35.882378,35.773141,35.801356,35.78156,33.788637,33.794923,33.937423,34.017027,33.922195,33.797008,34.6,93.252436
0.75,35.959495,36.011973,36.028596,36.004191,35.89373,35.875104,35.783533,35.799276,35.765976,34.230084,33.977769,34.561483,34.513334,34.29183,34.29544,34.5,93.46452
1,35.962614,36.008856,36.020261,35.993805,35.905152,35.871986,35.783533,35.804475,35.771171,34.574933,34.195938,35.05033,34.971225,34.583592,34.721184,34.5,91.9742
1.25,35.989643,36.008856,36.020261,35.977188,35.905152,35.877182,35.776258,35.787838,35.779482,34.975871,34.389173,35.5735,35.467532,34.846282,35.134467,34,75.26542
1.5,35.97093,35.997426,36.03068,35.96057,35.89996,35.875104,35.80016,35.793037,35.779482,35.273978,34.620848,36.065467,35.868316,35.086129,35.538405,33.9,79.719184
1.75,35.97301,36.014052,36.036932,35.982381,35.896845,35.888614,35.789768,35.807595,35.784677,35.670761,34.824473,36.537673,36.287789,35.35401,35.961034,34.1,82.275656
2,35.984445,36.019247,35.946286,35.99069,35.907229,35.899006,35.78665,35.804475,35.768054,35.940823,34.982385,37.122209,36.784096,35.591781,36.462581,34.4,84.161484
2.25,35.979247,36.011973,36.03068,35.968879,35.896845,35.882378,35.767945,35.804475,35.757665,36.28671,35.139259,37.575693,37.23368,35.908463,36.853019,34.8,85.605948
2.5,35.962614,35.987035,36.033806,35.96057,35.883346,35.871986,35.778337,35.807595,35.776365,36.679339,35.409373,38.099903,37.689494,36.195033,37.155194,35.2,86.477212
2.75,35.976128,36.000543,36.020261,35.963686,35.88023,35.868869,35.767945,35.790958,35.746237,36.87046,35.436385,38.499301,38.046669,36.429689,37.496827,35.6,87.233836
3,35.984445,35.997426,36.023387,35.952261,35.89373,35.868869,35.759631,35.796157,35.768054,37.063658,35.701304,38.823813,38.221104,36.830473,37.799002,36,87.76118
3.25,35.916871,35.958979,35.987962,35.937721,35.876077,35.86679,35.789768,35.816953,35.764938,37.167528,35.757405,38.978788,38.362312,36.811784,37.917379,36.5,88.30572
3.5,35.979247,36.001582,36.025471,35.976149,35.902037,35.887574,35.771062,35.83255,35.773249,37.439667,35.94129,38.990229,38.451606,36.759869,38.044064,36.9,88.374504
3.75,36.030188,36.043146,36.071314,36.022886,35.950842,35.931221,35.820944,35.852306,35.808571,37.532112,36.033752,38.812372,38.114159,36.839818,37.898688,37.4,88.345844
4,36.040584,36.048342,36.081733,36.009384,35.942534,35.904202,35.815748,35.835669,35.805455,37.131174,35.774027,38.429615,37.884694,36.834626,37.634934,37.7,88.053512
4.25,36.005237,36.034834,36.049434,35.979265,35.931112,35.895888,35.815748,35.83359,35.805455,36.859034,35.547547,37.974051,37.50883,36.450455,37.301608,38,87.64654
4.5,36.010435,36.029638,36.05256,35.989651,35.929035,35.882378,35.824062,35.835669,35.797143,36.564043,35.369895,37.492485,37.118429,36.128582,36.81979,38.3,86.207808
4.75,36.002118,36.019247,36.032764,35.984458,35.931112,35.882378,35.799121,35.820072,35.795066,36.263859,35.089392,37.0234,36.679228,36.051748,36.445966,38.3,81.966128
5,35.978208,35.999504,36.079649,35.99796,35.920728,35.889653,35.785611,35.808634,35.775327,35.901353,34.986541,36.605279,36.36047,35.773484,36.039952,38.3,75.775568
5.25,35.969891,36.003661,36.003591,35.979265,35.894768,35.901084,35.80016,35.823192,35.810649,35.62402,34.870184,36.201721,36.026137,35.576207,35.748162,38.1,69.665256
5.5,36.034346,36.048342,36.078608,36.030156,35.954995,35.935378,35.828218,35.862704,35.817921,35.494182,34.842134,36.003061,35.863124,35.52533,35.380568,37.9,63.096384
5.75,36.015633,36.055616,36.056728,36.027041,35.941496,35.930182,35.819905,35.862704,35.824155,35.400699,34.836939,35.858488,35.775907,35.406964,35.182234,37.5,55.80528
6,36.020831,36.040029,36.059853,36.00523,35.941496,35.924986,35.828218,35.843988,35.802338,35.378887,34.892001,35.875129,35.68869,35.403849,35.102277,37.2,50.250972
6.25,36.004198,36.018208,36.051518,35.988612,35.938381,35.911476,35.804317,35.840868,35.79091,35.433938,34.925246,35.872009,35.770716,35.310402,35.058664,36.8,44.794108
6.5,36.004198,36.036912,36.067147,36.010423,35.930074,35.93226,35.819905,35.83255,35.801299,35.417319,34.955374,35.967698,35.789405,35.350896,35.232077,36.5,40.73012
6.75,36.036425,36.066007,36.099446,36.045735,35.975763,35.947848,35.870826,35.891818,35.850127,35.568969,35.004202,36.147635,35.969031,35.504564,35.456371,36.3,37.715088
7,36.033306,36.077437,36.077566,36.050928,35.978878,35.947848,35.85212,35.866863,35.833505,35.65622,35.032253,36.09043,36.069746,35.542981,35.576826,36.1,35.273256
7.25,36.02499,36.052498,36.094236,36.032234,35.965379,35.923946,35.81367,35.869983,35.838699,35.708155,35.142376,36.082109,36.11647,35.703918,35.762699,35.9,33.519264
7.5,36.006277,36.047303,36.064021,36.020809,35.935266,35.93226,35.825101,35.845027,35.819999,35.858766,35.18601,36.256846,36.217185,35.804633,36.00257,35.9,32.258224
7.75,36.065534,36.091984,36.131745,36.061314,36.007954,35.963436,35.894727,35.915734,35.8761,36.042616,35.331456,36.517911,36.432113,36.029944,36.238286,35.9,31.341104
8,36.043702,36.095101,36.111948,36.076893,35.996531,35.961358,35.876022,35.899097,35.8761,36.144409,35.40314,36.766495,36.660539,36.242795,36.336934,35.9,30.653264
8.25,36.027069,36.051459,36.103613,36.055083,35.980955,35.949926,35.862512,35.88246,35.860516,36.239969,35.443657,36.993237,36.789288,36.357008,36.533192,35.9,29.506864
8.5,36.018752,36.051459,36.07444,36.039504,35.974725,35.926025,35.849002,35.874142,35.852205,36.394735,35.473785,37.040041,37.029135,36.422421,36.680645,36,28.4923
8.75,36.072811,36.115883,36.133828,36.095588,36.015222,36.003965,35.896806,35.93341,35.891683,36.618056,35.598453,37.309427,37.237834,36.580243,36.916362,36.2,27.724212
9,36.072811,36.102375,36.135912,36.073778,35.998608,35.985259,35.888492,35.914694,35.886489,36.84657,35.707538,37.4488,37.276251,36.825282,37.063814,36.3,26.824288
9.25,36.05098,36.083671,36.100487,36.070662,35.993416,35.955122,35.856277,35.916774,35.938434,36.677262,35.688837,37.573612,37.437187,36.711069,37.213344,36.5,26.17084
9.5,36.123752,36.152252,36.15675,36.114283,36.044298,35.995651,35.914472,35.88246,35.877139,36.925511,35.883112,37.641219,37.533749,36.982065,37.265264,36.7,25.402752
9.75,36.096722,36.126274,36.165085,36.127785,36.039106,36.008122,35.870826,35.957326,35.912461,37.075084,35.99843,37.810755,37.678073,36.914575,37.371181,36.9,24.634664
10,36.098801,36.121079,36.132786,36.081048,36.014184,35.989416,35.90408,35.924052,35.907267,37.091703,36.034791,37.914765,37.627196,36.897963,37.417909,37,23.96402
10.25,36.055138,36.101336,36.132786,36.102858,36.002762,35.986298,35.89057,35.921973,35.898956,37.121825,36.066997,37.955329,37.664575,36.901077,37.463598,37.2,23.310572
10.5,36.141425,36.169917,36.194259,36.144402,36.06195,36.045533,35.91655,35.968764,35.943628,37.305675,36.297633,38.005254,37.80163,36.981027,37.577822,37.3,22.639928
10.75,36.098801,36.106532,36.170295,36.128823,36.040144,36.021631,35.933178,35.964604,35.92285,37.256856,36.300749,38.044778,37.819282,37.060976,37.628704,37.4,21.969284
11,36.161177,36.122118,36.155708,36.113244,36.059874,36.001886,35.903041,35.939649,35.909345,37.290095,36.325683,38.031256,37.901307,36.992448,37.675432,37.5,21.41328
11.25,36.173652,36.197972,36.209887,36.151673,36.073373,36.061121,35.961236,35.975002,35.946745,37.428242,36.474246,38.156069,38.045631,37.141963,37.659856,37.6,20.857276
11.5,36.124791,36.151213,36.182798,36.147518,36.072334,36.037219,35.935256,35.9854,35.955056,37.49368,36.539696,38.186231,37.973988,37.138848,37.637011,37.6,20.284076
11.75,36.094643,36.140822,36.166127,36.125708,36.053643,36.014357,35.937334,35.963565,35.935317,37.611053,36.62177,38.210154,38.036286,37.128465,37.769926,37.7,19.842712
12,36.186128,36.215637,36.225515,36.191139,36.105563,36.079826,35.978902,36.028032,35.967523,37.7492,36.746438,38.27776,38.120389,37.288363,37.762658,37.7,19.269512
12.25,36.140385,36.153291,36.190091,36.159981,36.079603,36.060082,35.96955,36.019714,35.972718,37.849954,36.790071,38.346407,38.234602,37.424381,37.894534,37.7,18.925592
12.5,36.118554,36.156408,36.17863,36.14648,36.084795,36.03618,35.952922,35.984361,35.957134,37.746084,36.869028,38.37657,38.269904,37.318474,37.881035,37.8,18.598868
12.75,36.228751,36.265514,36.280736,36.20568,36.122178,36.10061,35.971628,36.017634,36.002846,38.112745,37.048757,38.365129,38.273019,37.335087,37.965146,37.8,18.254948
13,36.147662,36.182386,36.205719,36.173483,36.108678,36.067356,36.001765,36.008276,35.986223,37.780361,36.953179,38.493061,38.359198,37.415036,37.96203,37.9,17.928224
13.25,36.122712,36.190699,36.210929,36.151673,36.076488,36.065278,35.955001,36.008276,35.964406,38.042113,37.097586,38.473299,38.503521,37.470066,37.940224,37.9,17.698944
13.5,36.160138,36.205246,36.238018,36.184908,36.095179,36.089179,35.987216,36.017634,35.981029,37.949669,37.032135,38.573149,38.532594,37.550015,38.092869,38,17.37222
