t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
12.5,33.546583,33.585675,33.63952,33.695384,33.604058,33.578472,26.83706,27.72107,27.5,26.57208,26.7,29.58124
12.75,33.472772,33.534759,33.585341,33.634106,33.593674,33.564962,26.840178,27.672199,27.5,26.68672,26.7,29.58124
13,33.523712,33.58048,33.623891,33.686036,33.619634,33.591982,26.834982,27.652443,27.5,26.68672,26.7,29.58124
13.25,33.556979,33.623083,33.660358,33.70577,33.634171,33.58055,26.864079,27.659722,27.4,26.784164,26.6,29.58124
13.5,33.520593,33.558658,33.637436,33.677727,33.601981,33.585746,26.815237,27.61709,27.4,26.784164,26.6,29.68905
13.75,33.458217,33.537876,33.56867,33.647608,33.591597,33.560806,26.822511,27.571339,27.4,26.784164,26.6,29.68905
14,33.572573,33.633474,33.670777,33.721349,33.654939,33.604452,26.843295,27.598374,27.4,26.784164,26.6,29.79686
14.25,33.530989,33.610613,33.657232,33.697461,33.623787,33.582629,26.83706,27.541185,27.3,26.881608,26.6,29.79686
14.5,33.457178,33.537876,33.609305,33.66838,33.610288,33.587825,26.783022,27.542224,27.3,26.996248,26.6,29.79686
14.75,33.593365,33.652177,33.69474,33.73485,33.68713,33.631471,26.845374,27.558861,27.3,26.881608,26.5,29.90467
15,33.561138,33.635552,33.669735,33.721349,33.646632,33.614844,26.757042,27.533906,27.3,26.881608,26.5,29.90467
15.25,33.481088,33.558658,33.613472,33.687075,33.60925,33.584707,26.760159,27.489195,27.3,26.996248,26.5,30.01248
15.5,33.590246,33.659451,33.679112,33.735889,33.6674,33.635628,26.820433,27.491274,27.3,26.996248,26.5,30.01248
15.75,33.593365,33.645943,33.666609,33.736928,33.6674,33.635628,26.795492,27.430966,27.3,27.110888,26.5,30.12029
