Time,101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),110 (C),111 (C),112 (C),113 (C),114 (C),115 (C),Temp,%RH
0,30.889366,30.997277,31.078529,31.181972,31.145126,31.209096,31.067643,31.175286,31.13456,38.417084,37.999351,37.519527,37.24614,36.927035,36.914285,36.2,47.963904
0.25,30.90288,30.999355,31.050398,31.156007,31.140973,31.198704,31.041663,31.15345,31.103393,36.76659,36.865911,34.276495,35.091667,33.801752,33.980805,35.7,48.21038
0.5,30.92991,31.033645,31.084781,31.19028,31.135781,31.184155,31.054134,31.171126,31.103393,36.449786,36.316333,34.051834,34.605743,33.624203,33.637094,35.4,48.43966
0.75,30.943425,31.033645,31.079571,31.178856,31.130589,31.220527,31.039585,31.132654,31.100277,35.980294,35.964146,34.258814,34.707496,33.903505,33.655786,35.1,48.66894
1,30.963177,31.030528,31.093116,31.201705,31.14928,31.225723,31.070761,31.15241,31.108588,35.958481,35.697149,34.01335,34.740722,33.75399,33.507294,34.9,48.78358
1.25,30.943425,31.032606,31.084781,31.187165,31.156549,31.220527,31.063486,31.164888,31.116899,35.819295,35.423918,34.00919,34.615088,33.869241,33.621518,34.8,49.01286
1.5,30.998524,31.082483,31.123331,31.23494,31.152395,31.21741,31.05829,31.140972,31.103393,35.631291,35.258733,33.892699,34.414696,33.597207,33.493795,34.7,49.339584
1.75,31.000603,31.080405,31.131666,31.219361,31.154472,31.220527,31.0718,31.138893,31.095082,35.631291,35.139259,33.950944,34.541368,33.713496,33.573752,34.5,49.454224
2,30.985009,31.088718,31.126457,31.219361,31.16901,31.225723,31.05829,31.160728,31.111704,35.6396,35.170426,33.997749,34.508143,33.81525,33.62048,34.4,49.683504
2.25,30.98189,31.080405,31.136876,31.232863,31.174202,31.220527,31.076996,31.165927,31.120016,35.421473,34.940829,33.920781,34.433385,33.748799,33.477181,34.3,49.895588
2.5,30.985009,31.065857,31.101451,31.232863,31.177317,31.240272,31.074918,31.155529,31.131444,35.289558,34.783955,33.787648,34.34513,33.64393,33.350496,34.3,50.010228
2.75,31.055702,31.126125,31.158756,31.250519,31.171086,31.240272,31.066604,31.163848,31.113782,35.399661,34.791228,33.670117,34.163427,33.473649,33.215504,34.3,50.124868
3,31.044266,31.110539,31.166049,31.262982,31.178355,31.220527,31.061408,31.155529,31.118977,35.343571,34.749672,33.814691,34.270372,33.663658,33.409685,34.4,50.239508
3.25,31.017236,31.089757,31.119164,31.221438,31.157587,31.220527,31.066604,31.131614,31.117938,35.257359,34.825511,33.871897,34.246491,33.577479,33.416954,34.4,50.336952
3.5,30.973573,31.047154,31.100409,31.194435,31.139934,31.193508,31.04582,31.127455,31.098199,35.415241,34.934596,33.932222,34.309828,33.65639,33.537408,34.2,50.566232
3.75,30.90496,31.006629,31.062901,31.167431,31.100475,31.19039,31.01984,31.111858,31.074304,35.204385,34.895118,33.793889,34.343053,33.584747,33.378533,34.1,50.778316
4,30.951742,31.022215,31.079571,31.160161,31.109821,31.179998,31.015683,31.108738,31.096121,34.931207,34.582409,33.733563,34.181078,33.531794,33.36088,34,50.892956
4.25,30.987088,31.052349,31.113954,31.202744,31.126435,31.196626,31.009448,31.097301,31.080537,34.660106,34.429691,33.622273,34.160312,33.524526,33.300653,34,51.122236
4.5,30.973573,31.063779,31.092074,31.194435,31.107744,31.182077,31.026075,31.103539,31.100277,34.74528,34.413068,33.70236,34.130202,33.524526,33.297538,34,51.21968
4.75,30.978771,31.052349,31.100409,31.180933,31.118128,31.198704,31.01984,31.113937,31.100277,34.756705,34.46813,33.663877,34.080363,33.449768,33.214466,33.9,51.21968
5,30.960058,31.047154,31.094158,31.18301,31.126435,31.188312,31.028154,31.111858,31.120016,34.811756,34.487869,33.740844,34.099053,33.54633,33.30273,34,51.44896
5.25,30.968375,31.022215,31.105619,31.18301,31.151357,31.182077,31.028154,31.136813,31.100277,34.695422,34.361123,33.649315,34.068942,33.571249,33.206158,34,51.546404
5.5,31.022434,31.087679,31.125415,31.204821,31.150318,31.204939,31.01984,31.120176,31.099238,34.815911,34.417224,33.642034,34.116704,33.403045,33.21135,34.3,51.661044
5.75,31.039068,31.082483,31.127499,31.224554,31.138896,31.193508,31.009448,31.111858,31.103393,34.651797,34.469169,33.631633,34.004567,33.38124,33.148008,34.1,51.661044
6,31.030751,31.093913,31.127499,31.207937,31.15551,31.201822,31.022958,31.120176,31.10651,34.911472,34.782917,33.742924,33.949537,33.574364,33.311037,33.9,51.775684
6.25,31.025553,31.0856,31.141043,31.216245,31.144088,31.193508,31.031271,31.131614,31.120016,34.615442,34.460858,33.541145,33.93604,33.408236,33.206158,33.9,46.186984
6.5,31.03387,31.093913,31.127499,31.21313,31.16901,31.196626,31.047898,31.125375,31.122093,34.516766,34.189705,33.521383,33.92981,33.384355,33.208235,33.8,45.951972
6.75,31.042187,31.099109,31.132708,31.216245,31.152395,31.201822,31.039585,31.128495,31.12521,34.676725,34.435924,33.521383,34.002491,33.414466,33.161507,34.1,46.668472
7,31.042187,31.09807,31.150421,31.215207,31.142011,31.201822,31.023997,31.112898,31.124171,34.572855,34.280089,33.659716,34.040908,33.470534,33.316229,34.3,47.763284
7.25,31.096246,31.142751,31.168133,31.251558,31.167971,31.223645,31.030232,31.15033,31.11586,35.316565,35.01563,34.770543,34.753182,34.408119,34.424202,34.5,48.399536
7.5,31.121196,31.139634,31.183761,31.24221,31.184586,31.210135,31.055173,31.156569,31.127288,35.452634,35.184971,35.108575,34.973301,34.763218,34.660957,34.6,48.938344
7.75,30.978771,31.038841,31.086865,31.153929,31.098398,31.144666,30.992821,31.096261,31.073265,35.530537,35.233799,35.133538,35.001335,34.807865,34.759605,34.7,49.379708
8,30.98189,31.038841,31.080613,31.180933,31.108782,31.141548,30.995938,31.104579,31.093004,35.498337,35.278472,35.190743,35.064672,34.782945,34.746106,34.5,49.477152
8.25,30.978771,31.041958,31.108745,31.17574,31.125397,31.183116,30.990742,31.129534,31.103393,35.317603,35.175621,35.122097,35.036638,34.722724,34.712877,34.3,50.01596
8.5,31.035949,31.089757,31.126457,31.196512,31.108782,31.155058,31.004252,31.113937,31.096121,34.957174,34.851484,34.858951,34.804058,34.553481,34.473006,33.9,50.457324
8.75,31.050504,31.105343,31.134792,31.218323,31.137858,31.188312,30.998017,31.10146,31.100277,34.499108,34.479558,34.578124,34.533062,34.32817,34.220675,33.5,50.669408
9,31.0609,31.099109,31.134792,31.223516,31.124358,31.19143,31.003213,31.112898,31.110666,34.035848,33.985041,34.257774,34.221572,34.01668,33.942384,33.1,50.669408
9.25,31.064018,31.107421,31.140002,31.203782,31.12955,31.204939,31.016722,31.106659,31.110666,33.519614,33.558053,33.890618,33.940193,33.730109,33.627749,32.7,50.669408
9.5,31.074414,31.110539,31.141043,31.197551,31.121243,31.161293,30.995938,31.096261,31.079499,33.041812,33.062498,33.457937,33.519681,33.413428,33.272616,32.3,50.571964
9.75,31.022434,31.084561,31.122289,31.170547,31.111898,31.150901,30.976194,31.075465,31.081576,32.505842,32.594993,33.136546,33.09917,33.017835,32.962134,32,50.457324
10,31.015157,31.030528,31.082697,31.174701,31.085938,31.129078,30.976194,31.069226,31.100277,32.085169,32.23865,32.804754,32.839595,32.692848,32.671382,31.6,51.110772
10.25,31.055702,31.094952,31.118122,31.195473,31.109821,31.161293,30.970998,31.078584,31.072226,31.685269,31.964381,32.476082,32.572752,32.358515,32.349478,31.4,51.437496
10.5,31.05882,31.113656,31.131666,31.188203,31.113974,31.161293,30.96788,31.069226,31.073265,31.395472,31.69115,32.198376,32.237381,32.191349,32.122069,31.3,51.53494
10.75,31.069216,31.113656,31.146253,31.226631,31.124358,31.169606,30.989703,31.057788,31.081576,31.20539,31.426231,32.113087,32.077483,32.017953,32.01719,31.3,51.76422
11,31.069216,31.118852,31.181678,31.21313,31.119166,31.17792,30.987625,31.107699,31.095082,31.461949,31.55921,32.154691,32.129398,32.051178,32.045227,31.4,51.76422
11.25,31.072335,31.113656,31.161881,31.223516,31.127474,31.17792,31.022958,31.094181,31.116899,31.572051,31.627777,32.218138,32.257108,32.08648,32.113762,31.5,51.976304
11.5,31.094167,31.138594,31.161881,31.207937,31.135781,31.194547,31.012566,31.116017,31.12521,31.848345,31.865685,32.281584,32.303832,32.20277,32.23837,31.7,51.87886
11.75,31.050504,31.087679,31.122289,31.170547,31.09736,31.159214,30.964762,31.093141,31.088849,32.125678,32.029832,32.358551,32.377551,32.345017,32.334941,31.9,52.91062
12,31.023474,31.056506,31.119164,31.177817,31.073477,31.137391,30.957488,31.064027,31.074304,32.31576,32.240728,32.547849,32.521875,32.487264,32.440858,32.1,53.306128
12.25,31.045306,31.075209,31.116038,31.164315,31.092168,31.145705,30.968919,31.086903,31.082615,32.560894,32.440197,32.711145,32.712922,32.655469,32.586234,32.2,51.781416
12.5,31.040108,31.086639,31.107703,31.169508,31.095283,31.143626,30.965802,31.072345,31.099238,32.740589,32.600188,32.829716,32.792871,32.763452,32.697342,32.3,52.090944
12.75,31.050504,31.072092,31.135834,31.202744,31.108782,31.159214,30.979311,31.097301,31.101315,32.834072,32.698883,32.939967,32.886318,32.863129,32.79599,32.3,52.320224
13,31.065058,31.083522,31.135834,31.180933,31.095283,31.175842,30.982429,31.105619,31.10651,32.86731,32.74875,32.956609,32.94654,32.895316,32.787683,32.2,52.532308
13.25,31.05882,31.09703,31.144169,31.205859,31.113974,31.159214,30.99386,31.125375,31.137677,32.807065,32.751867,32.951408,32.952769,32.884933,32.79599,32.1,52.125336
13.5,31.053622,31.103265,31.146253,31.197551,31.125397,31.175842,31.002174,31.147211,31.126249,32.646067,32.630316,32.887962,32.819867,32.790448,32.707726,32,51.701168
13.75,30.993326,31.034684,31.087907,31.163277,31.090091,31.132195,30.976194,31.108738,31.116899,32.424824,32.403836,32.776671,32.676582,32.675196,32.600771,31.8,51.50628
14,30.941346,30.977534,31.039979,31.120694,31.06517,31.11349,30.958527,31.114977,31.118977,32.180729,32.259428,32.590493,32.490726,32.498685,32.462664,31.6,51.179556
14.25,30.933029,31.002472,31.048314,31.12381,31.054786,31.130117,30.958527,31.10042,31.124171,31.92417,31.991392,32.460481,32.342249,32.335672,32.30275,31.4,49.247872
14.5,30.911197,31.010785,31.061859,31.140428,31.059978,31.146744,30.963723,31.09834,31.124171,31.606328,31.851141,32.264942,32.046334,32.157085,32.203064,31.2,45.08644
14.75,30.93095,30.999355,31.048314,31.145621,31.06517,31.148822,30.960606,31.128495,31.137677,31.457794,31.621544,32.101646,31.941465,32.060523,32.054573,31.2,40.122528
15,30.999563,31.064818,31.101451,31.166393,31.075554,31.157136,30.958527,31.106659,31.12521,31.415207,31.569599,32.003877,31.898895,31.855978,31.956963,31.2,35.812064
15.25,30.993326,31.05131,31.097284,31.172624,31.111898,31.160254,30.98035,31.106659,31.124171,31.429749,31.576871,31.982035,31.827252,31.884012,31.944502,31.2,32.30408
15.5,31.004761,31.048193,31.11708,31.180933,31.106706,31.16545,30.988664,31.131614,31.132482,31.559587,31.667255,31.992436,31.877091,31.905816,31.999538,31.3,28.910736
15.75,31.013078,31.056506,31.11708,31.189242,31.12332,31.168567,31.000095,31.128495,31.140794,31.687347,31.690111,32.078764,31.981959,31.967076,32.032766,31.4,26.893072
16,31.015157,31.073131,31.125415,31.195473,31.111898,31.19039,30.99386,31.136813,31.165727,31.816146,31.858413,32.147411,32.070214,32.093748,32.08261,31.5,25.219328
16.25,31.029712,31.076248,31.13375,31.187165,31.120205,31.19039,31.010487,31.164888,31.174038,31.965718,31.935292,32.235819,32.144972,32.187195,32.154259,31.6,24.36526
16.5,30.952781,31.002472,31.087907,31.1612,31.093206,31.15194,30.987625,31.123296,31.148066,32.066472,32.048532,32.332549,32.221806,32.267145,32.245638,31.7,23.493996
16.75,30.961098,31.035724,31.071236,31.166393,31.107744,31.166489,30.976194,31.159689,31.161572,32.188,32.120216,32.382473,32.301755,32.308677,32.294443,31.8,23.115684
17,30.917435,31.006629,31.053524,31.125887,31.075554,31.133234,30.978272,31.110818,31.151183,32.263825,32.168005,32.479203,32.343287,32.384472,32.340133,31.8,22.869208
17.25,30.90392,30.969221,31.03477,31.110308,31.052709,31.133234,30.958527,31.139932,31.149105,32.285638,32.218911,32.489604,32.380666,32.386549,32.375438,31.8,22.639928
17.5,30.920554,30.972338,31.048314,31.140428,31.0714,31.166489,30.994899,31.137853,31.157416,32.30018,32.279168,32.511446,32.375475,32.400047,32.367131,31.8,22.542484
17.75,30.909118,30.977534,31.071236,31.118617,31.054786,31.13947,30.983468,31.15137,31.163649,32.253438,32.252156,32.516646,32.380666,32.380319,32.352594,31.7,22.21576
18,30.920554,30.983769,31.054566,31.135235,31.074515,31.158175,31.008409,31.156569,31.193778,32.217084,32.172161,32.458401,32.320445,32.375128,32.344286,31.7,21.906232
18.25,30.900801,30.975456,31.05665,31.140428,31.088014,31.199743,30.998017,31.156569,31.180272,32.162033,32.147227,32.4532,32.300717,32.311791,32.314173,31.6,21.711344
18.5,30.944464,31.002472,31.080613,31.152891,31.085938,31.174802,30.990742,31.168007,31.173,32.022847,32.029832,32.393914,32.200002,32.261953,32.259138,31.5,21.516456
18.75,30.939266,31.018059,31.078529,31.151852,31.099437,31.171685,31.012566,31.158649,31.168844,31.957409,31.995548,32.258701,32.142895,32.197578,32.157374,31.5,21.304372
19,30.988128,31.035724,31.100409,31.16847,31.118128,31.183116,31.011526,31.156569,31.168844,31.858732,31.886463,32.23998,32.096172,32.138395,32.143875,31.4,21.092288
19.25,30.966296,31.046115,31.114996,31.176779,31.112936,31.19143,31.000095,31.179445,31.180272,31.775636,31.856335,32.183814,32.001687,32.053255,32.080533,31.4,20.863008
19.5,30.988128,31.037802,31.131666,31.187165,31.126435,31.19143,31.003213,31.187763,31.168844,31.74863,31.844907,32.118288,31.986112,32.023144,32.033805,31.3,20.731172
19.75,30.999563,31.049232,31.120205,31.198589,31.116051,31.196626,31.025036,31.179445,31.215594,31.695656,31.792962,32.085005,31.952887,32.006531,32.002653,31.3,20.484696
20,30.991246,31.052349,31.114996,31.212091,31.118128,31.202861,31.014644,31.20648,31.188583,31.673844,31.723356,32.056922,31.916546,32.003416,31.955925,31.3,20.35286
20.25,30.994365,31.054427,31.123331,31.203782,31.134742,31.21637,31.011526,31.195042,31.2104,31.703966,31.737901,32.063163,31.872937,31.94008,31.961117,31.3,20.203828
20.5,31.03283,31.063779,31.145211,31.215207,31.134742,31.219488,31.011526,31.191922,31.20105,31.690463,31.70985,32.009077,31.873976,31.908931,31.934118,31.3,20.169436
20.75,31.08481,31.095991,31.17751,31.224554,31.160702,31.238194,31.040624,31.196082,31.185466,31.735127,31.744134,32.025719,31.877091,31.913084,31.924773,31.3,20.020404
21,31.078573,31.101187,31.185845,31.23494,31.150318,31.219488,31.043742,31.189843,31.193778,31.783946,31.783612,32.070443,31.90201,31.929697,31.969424,31.4,19.986012
21.25,31.062979,31.111578,31.208767,31.246365,31.158626,31.246507,31.029193,31.214798,31.233256,31.825494,31.791923,32.047561,31.921738,31.973306,31.979808,31.4,19.986012
21.5,31.076494,31.117812,31.185845,31.249481,31.163818,31.221566,31.054134,31.214798,31.208322,31.842113,31.81374,32.105807,31.965346,32.00134,31.99123,31.4,19.871372
21.75,31.056741,31.092874,31.1723,31.231824,31.162779,31.219488,31.049977,31.198161,31.220789,31.823417,31.829324,32.076684,31.977806,32.023144,31.992269,31.4,19.871372
22,31.073375,31.111578,31.197306,31.251558,31.17524,31.254821,31.040624,31.239753,31.216633,31.911706,31.855296,32.108927,31.978844,32.039757,32.00473,31.4,19.888568
22.25,30.983969,31.023254,31.118122,31.185087,31.130589,31.199743,31.015683,31.183604,31.209361,31.845229,31.834518,32.114128,31.96327,32.013799,31.987077,31.4,19.791124
22.5,30.991246,31.065857,31.131666,31.205859,31.136819,31.202861,31.010487,31.215838,31.221828,31.845229,31.855296,32.088125,31.947695,32.023144,31.982923,31.4,19.80832
22.75,30.944464,31.006629,31.100409,31.184049,31.122282,31.197665,31.027114,31.208559,31.198972,31.827571,31.825168,32.117248,31.981959,31.969152,31.992269,31.4,19.710876
23,30.947583,31.010785,31.104577,31.185087,31.110859,31.225723,31.028154,31.217917,31.221828,31.843152,31.812701,32.076684,31.927967,31.976421,31.990192,31.3,19.613432
23.25,30.9559,31.010785,31.118122,31.188203,31.124358,31.205978,31.034389,31.207519,31.213517,31.798488,31.80439,32.071483,31.956001,31.954616,31.995384,31.3,19.630628
23.5,30.967336,31.030528,31.120205,31.194435,31.128512,31.200782,31.013605,31.210639,31.211439,31.776675,31.780496,32.066283,31.912393,31.973306,31.947618,31.4,19.515988
23.75,31.00788,31.026372,31.128541,31.188203,31.132666,31.202861,31.014644,31.20648,31.212478,31.788101,31.796079,32.020519,31.877091,31.958769,31.943464,31.4,19.515988
24,30.996444,31.0856,31.140002,31.208975,31.128512,31.205978,31.010487,31.218957,31.208322,31.823417,31.841791,32.048601,31.903048,31.957731,31.947618,31.7,19.401348
24.25,31.013078,31.068975,31.161881,31.225593,31.153434,31.222606,31.018801,31.210639,31.233256,32.033234,32.015287,32.213977,32.043219,32.059485,32.057688,32,19.384152
24.5,31.010999,31.052349,31.161881,31.225593,31.136819,31.214292,31.025036,31.221037,31.216633,32.414437,32.496298,32.477122,32.352632,32.327366,32.353632,32.2,19.384152
24.75,31.016197,31.06274,31.156672,31.214168,31.153434,31.211174,31.018801,31.227276,31.203128,32.770711,32.929519,32.849478,32.655816,32.558907,32.543659,32.3,19.366956
25,31.038028,31.068975,31.158756,31.241172,31.148242,31.236115,31.035428,31.234554,31.239489,32.960793,32.95653,32.96909,32.765875,32.638856,32.656845,32.3,19.34976
25.25,31.029712,31.0856,31.161881,31.214168,31.158626,31.227802,31.05829,31.232475,31.258189,32.905742,33.006398,32.924365,32.862437,32.71569,32.637115,32.3,19.34976
25.5,31.027632,31.065857,31.170217,31.249481,31.166933,31.249625,31.060369,31.265748,31.244684,32.861078,32.89108,32.960769,32.774182,32.635741,32.683843,32.3,19.332564
25.75,31.019316,31.060662,31.170217,31.241172,31.145126,31.247546,31.068682,31.262629,31.236372,32.830956,32.918091,32.877561,32.832327,32.627435,32.623616,32.2,19.332564
26,31.027632,31.071053,31.170217,31.247403,31.153434,31.230919,31.0718,31.276146,31.261306,32.714621,32.884846,32.889002,32.827135,32.658584,32.648538,32.1,19.430008
26.25,31.03283,31.079366,31.170217,31.249481,31.158626,31.249625,31.065565,31.221037,31.263384,32.621138,32.836018,32.786032,32.702539,32.558907,32.538467,32,19.430008
26.5,31.024514,31.071053,31.181678,31.244288,31.17524,31.247546,31.05829,31.262629,31.255073,32.452869,32.664599,32.700744,32.634011,32.412507,32.441896,31.9,19.430008
26.75,31.093127,31.12093,31.203557,31.267137,31.193931,31.266252,31.066604,31.279266,31.252995,32.237858,32.374746,32.490644,32.424275,32.310753,32.291328,31.7,19.430008
27,31.081692,31.114695,31.200432,31.270253,31.179394,31.324447,31.080114,31.262629,31.266501,32.10802,32.319685,32.355431,32.352632,32.189272,32.18645,31.7,19.430008
27.25,31.095206,31.126125,31.21606,31.2796,31.190816,31.26937,31.060369,31.290703,31.265462,32.037389,32.227223,32.257661,32.276836,32.117629,32.117915,31.6,19.430008
27.5,31.098325,31.142751,31.223354,31.269214,31.182509,31.26937,31.076996,31.284465,31.260267,32.054008,32.193978,32.249341,32.29864,32.095825,32.126222,31.6,19.447204
27.75,31.08689,31.139634,31.212935,31.337762,31.196008,31.247546,31.074918,31.274067,31.278967,32.010383,32.150344,32.296145,32.257108,32.095825,32.084686,31.5,19.447204
28,31.103523,31.137555,31.21606,31.285832,31.196008,31.297428,31.090506,31.290703,31.282084,31.822378,31.975809,32.152611,32.15847,32.057408,32.016152,31.5,19.447204
28.25,31.101444,31.126125,31.226479,31.287909,31.193931,31.289114,31.082192,31.357251,31.282084,31.885739,32.009054,32.124529,32.135627,32.002378,32.009922,31.6,19.447204
28.5,31.081692,31.186393,31.226479,31.299333,31.202238,31.285997,31.105054,31.304221,31.301823,31.927287,32.062037,32.152611,32.122129,32.065714,32.04315,31.5,19.561844
28.75,31.151345,31.153142,31.226479,31.296218,31.20743,31.29431,31.107133,31.304221,31.282084,32.043621,32.12541,32.212937,32.230113,32.09894,32.06288,31.5,19.676484
29,31.109761,31.145868,31.231689,31.302449,31.204315,31.302624,31.090506,31.320858,31.310134,31.963641,32.028793,32.185894,32.185466,32.060523,31.996422,31.5,19.791124
29.25,31.08481,31.131321,31.218144,31.287909,31.22093,31.335878,31.113368,31.323977,31.285201,31.913783,31.982042,32.119328,32.15224,32.015876,32.024459,31.5,20.020404
29.5,31.103523,31.159377,31.23794,31.312835,31.217814,31.327565,31.11025,31.323977,31.312212,31.949099,31.995548,32.169253,32.15847,32.107246,32.051458,31.5,20.347128
29.75,31.098325,31.142751,31.229605,31.304526,31.22093,31.280801,31.107133,31.320858,31.317407,32.035311,32.058921,32.189015,32.208308,32.107246,32.06288,31.5,21.034968
30,31.101444,31.159377,31.226479,31.302449,31.229237,31.299506,31.113368,31.320858,31.320523,31.990647,32.028793,32.180694,32.210385,32.115553,32.059765,31.5,23.574244
30.25,31.109761,31.145868,31.223354,31.32426,31.204315,31.319251,31.126878,31.320858,31.32364,31.977144,31.98412,32.157812,32.226998,32.065714,32.034843,31.5,32.745444
30.5,31.103523,31.142751,31.24315,31.235979,31.248966,31.316134,31.132074,31.348932,31.334029,31.982338,32.017365,32.172373,32.238419,32.112438,32.013037,31.4,44.948872
30.75,31.090008,31.156259,31.23794,31.310758,31.242736,31.316134,31.132074,31.345813,31.312212,31.982338,31.987237,32.132849,32.202079,32.077136,32.016152,31.4,48.78358
31,31.101444,31.209253,31.229605,31.307642,31.242736,31.314055,31.132074,31.35933,31.353768,31.888855,31.932175,32.100606,32.135627,32.00757,31.960078,31.4,49.849732
31.25,31.166939,31.145868,31.23794,31.304526,31.212622,31.319251,31.121682,31.351012,31.340262,31.830687,31.857374,32.072524,32.113823,31.980574,31.91335,31.4,51.013328
