t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),112 (C),113 (C),114 (C),115 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
0,33.864701,33.887014,33.906246,33.871946,33.783701,33.795665,33.73423,33.731114,33.387934,33.320644,33.337979,33.303368,33.385802,33.3,63.222488,33.1,60.84614
0.25,33.869899,33.887014,33.922916,33.869868,33.770202,33.767606,33.729034,33.717597,33.37339,33.298801,33.321366,33.284679,33.362957,33.3,63.222488,33,61.16957
0.5,33.861582,33.873506,33.90833,33.855328,33.775394,33.757214,33.712407,33.731114,33.359884,33.312323,33.299562,33.276372,33.344266,33.3,63.337128,33,61.06176
0.75,33.812721,33.84545,33.876031,33.850135,33.775394,33.740587,33.714486,33.720716,33.37339,33.324804,33.330711,33.291947,33.384763,33.3,63.222488,33.1,61.06176
1,33.798166,33.839215,33.867696,33.842865,33.759818,33.76241,33.725917,33.713437,33.37339,33.334165,33.356668,33.299215,33.408646,33.3,63.107848,33.1,60.95395
1.25,33.896928,33.919226,33.965634,33.887525,33.7972,33.78943,33.763328,33.763348,33.397284,33.339365,33.345247,33.325172,33.401378,33.4,63.010404,33.1,60.84614
1.5,33.860542,33.905718,33.943754,33.887525,33.815891,33.786312,33.758132,33.761268,33.39209,33.342486,33.345247,33.288832,33.378533,33.4,63.010404,33.1,60.84614
1.75,33.828315,33.855841,33.90312,33.851174,33.774355,33.781116,33.745662,33.766467,33.397284,33.367448,33.371204,33.33867,33.428376,33.4,62.895764,33.1,60.73833
2,33.877176,33.908835,33.943754,33.888563,33.812776,33.84139,33.772681,33.764388,33.415985,33.346646,33.385741,33.339708,33.420069,33.4,62.781124,33.2,60.63052
2.25,33.906285,33.959751,33.970844,33.922837,33.834582,33.8019,33.778916,33.798701,33.430529,33.343526,33.375358,33.327249,33.392032,33.4,62.781124,33.2,60.63052
2.5,33.849107,33.883897,33.925,33.882332,33.810699,33.8019,33.785151,33.786223,33.428451,33.398651,33.390932,33.352168,33.451221,33.4,62.666484,33.2,60.52271
2.75,33.835592,33.877662,33.918749,33.891679,33.79097,33.785273,33.777877,33.773746,33.41079,33.39137,33.383664,33.362551,33.43876,33.5,62.68368,33.2,60.4149
3,33.963463,33.988846,34.008352,33.966458,33.863658,33.85386,33.803857,33.80598,33.437802,33.38721,33.409621,33.362551,33.437722,33.5,62.56904,33.2,60.4149
3.25,33.922918,33.94936,33.995849,33.919721,33.854312,33.834115,33.810092,33.826776,33.446113,33.396571,33.397162,33.35736,33.461605,33.5,62.56904,33.3,60.4149
3.5,33.86574,33.912991,33.951048,33.902065,33.839774,33.834115,33.796582,33.80286,33.461696,33.406972,33.424158,33.356321,33.497949,33.5,62.4544,33.3,60.30709
3.75,33.946829,33.976377,34.006268,33.948802,33.869888,33.859056,33.82568,33.818457,33.508447,33.462097,33.490609,33.495453,33.49068,33.5,62.4544,33.3,59.87585
4,33.963463,33.974298,34.015646,33.964381,33.891694,33.844507,33.845425,33.813258,33.579092,33.508902,33.507222,33.559828,33.498987,33.5,61.19336,33.2,56.42593
4.25,33.886532,33.925461,33.980221,33.92803,33.863658,33.839311,33.815288,33.851731,33.585325,33.542185,33.56952,33.616935,33.57479,33.4,56.361284,33.1,49.84952
4.5,33.968661,33.978455,34.023981,33.961265,33.895848,33.888154,33.847503,33.830935,33.628959,33.576508,33.593401,33.654313,33.596597,33.3,48.433928,32.9,42.19501
4.75,34.014403,34.023136,34.05628,34.002809,33.917654,33.896467,33.859974,33.873567,33.634154,33.59523,33.61832,33.66885,33.629826,33.1,40.145456,32.7,34.97174
5,33.930196,33.962868,34.002101,33.958149,33.874042,33.881918,33.852699,33.843412,33.672593,33.665957,33.674388,33.726994,33.675515,32.9,32.888744,32.5,29.15
5.25,33.915641,33.944164,33.979179,33.938416,33.874042,33.868409,33.852699,33.845492,33.67571,33.643075,33.687886,33.759182,33.717051,32.7,27.236992,32.2,24.94541
5.5,33.984255,33.999237,34.0344,33.978921,33.908309,33.887114,33.859974,33.85485,33.711032,33.666997,33.692039,33.763335,33.717051,32.4,23.287644,31.9,22.46578
5.75,33.972819,34.003393,34.026065,33.993462,33.922846,33.903742,33.89011,33.889164,33.754666,33.741884,33.76472,33.80902,33.787662,32.1,20.943256,31.6,20.95644
6,33.934354,33.964946,34.017729,33.96542,33.903117,33.883997,33.848542,33.867328,33.759861,33.748125,33.778218,33.832901,33.818814,31.8,19.515988,31.3,20.30958
6.25,33.926037,33.948321,34.001059,33.960227,33.87508,33.881918,33.848542,33.872527,33.766094,33.753325,33.769912,33.844322,33.835429,31.6,18.908396,31.1,20.09396
6.5,33.981136,34.00755,34.046903,33.995539,33.929077,33.911016,33.874522,33.885004,33.784794,33.779328,33.839478,33.886893,33.843736,31.4,18.759364,31,19.98615
6.75,33.958265,33.997159,34.053154,34.014234,33.94673,33.924526,33.892189,33.90788,33.808689,33.818851,33.860244,33.90662,33.878003,31.4,18.644724,31,19.87834
7,33.974898,33.988846,34.030232,33.986192,33.918693,33.916212,33.870366,33.899562,33.808689,33.810531,33.83221,33.90662,33.884234,31.4,18.644724,31.1,19.77053
7.25,33.928116,33.962868,34.014604,33.98723,33.904155,33.877762,33.876601,33.897482,33.781677,33.760606,33.793792,33.844322,33.788701,31.5,18.54728,31.2,19.77053
7.5,33.949948,33.989885,34.025023,34.002809,33.931154,33.929722,33.898424,33.922437,33.684021,33.602511,33.621435,33.673003,33.583098,31.6,18.449836,31.4,19.66272
7.75,33.990492,34.043918,34.070866,34.02462,33.980997,33.934918,33.899463,33.90684,33.468969,33.350806,33.359783,33.376049,33.25704,31.7,18.467032,31.5,19.55491
8,33.982176,34.010667,34.057322,34.013195,33.929077,33.926604,33.889071,33.923477,33.220671,33.060619,33.056599,33.029257,32.889446,31.8,18.369588,31.6,19.4471
8.25,33.894849,33.945204,34.005227,33.986192,33.905194,33.896467,33.89115,33.895402,32.94848,32.781872,32.731612,32.703231,32.5042,32,18.1747,31.7,19.33929
8.5,34.020641,34.048074,34.101081,34.040199,33.986189,33.961937,33.923365,33.930756,32.706416,32.44904,32.374436,32.315945,32.03069,32,18.06006,31.8,19.23148
8.75,34.000888,34.021058,34.079201,34.037083,33.961267,33.950506,33.89115,33.917238,32.378124,32.053802,31.951848,31.894395,31.581062,32.1,17.962616,31.8,19.12367
9,33.990492,34.037683,34.079201,34.035006,33.941538,33.923486,33.89115,33.902681,32.066454,31.697047,31.593635,31.456232,31.112744,32.1,17.847976,31.7,19.01586
9.25,33.913562,33.973259,34.025023,33.988269,33.948806,33.9318,33.881797,33.901641,31.865946,31.393338,31.297719,31.189389,30.806416,32.1,17.733336,31.6,19.01586
9.5,34.008166,34.069896,34.1115,34.052662,33.98515,33.966094,33.920247,33.929716,31.730889,31.290368,31.214655,31.027414,30.653771,32,17.71614,31.5,19.01586
9.75,33.99777,34.047035,34.096914,34.044353,33.971651,33.955702,33.895306,33.910999,31.792184,31.248764,31.244766,31.038836,30.728536,31.8,17.681748,31.3,19.01586
10,33.929156,33.994041,34.040651,34.020465,33.939461,33.947388,33.895306,33.915159,31.856596,31.41414,31.396358,31.256879,30.971522,31.7,17.549912,31.1,19.01586
10.25,34.035195,34.068856,34.114626,34.078627,34.012149,34.004544,33.927522,33.940114,32.030092,31.646083,31.566639,31.451041,31.257082,31.5,17.51552,31,19.01586
10.5,34.040393,34.085482,34.127129,34.06928,33.995534,33.979603,33.919208,33.940114,32.144371,31.764654,31.787797,31.675314,31.493837,31.4,17.498324,30.9,19.01586
10.75,33.988413,34.056387,34.086495,34.049546,33.991381,33.979603,33.905698,33.932835,32.272156,32.003877,31.960155,31.907893,31.765898,31.3,17.595768,30.9,19.12367
11,33.994651,34.032488,34.107333,34.044353,33.97892,33.993113,33.923365,33.945313,32.445652,32.169253,32.171968,32.142549,31.995384,31.3,17.595768,30.9,19.12367
11.25,34.103809,34.104186,34.145883,34.09836,34.019418,33.992074,33.951423,33.95883,32.557853,32.283664,32.299679,32.275451,32.183334,31.3,17.595768,31,19.12367
11.5,34.042472,34.070935,34.110458,34.072395,33.997611,34.003505,33.924404,33.947392,32.617071,32.355431,32.369245,32.333596,32.263291,31.4,17.727604,31.1,19.12367
11.75,33.980096,34.021058,34.077118,34.084859,33.960229,33.992074,33.907777,33.947392,32.624343,32.428238,32.413892,32.4042,32.326634,31.5,17.63016,31.1,19.12367
12,34.083017,34.130163,34.171931,34.152368,34.029802,34.030524,33.989874,33.974427,32.648238,32.407436,32.363015,32.379281,32.297558,31.6,17.761996,31.2,19.12367
12.25,34.069502,34.113538,34.153176,34.105631,34.026686,34.017014,33.958698,33.971308,32.586942,32.302386,32.260223,32.279604,32.143875,31.6,17.647356,31.3,19.01586
12.5,34.015443,34.060544,34.118794,34.060971,34.007995,33.99727,33.946227,33.967149,32.435263,32.13493,32.10967,32.102055,31.931003,31.7,17.549912,31.3,19.01586
12.75,34.027918,34.094834,34.129213,34.096283,34.009034,34.015975,33.937914,33.993144,32.268,31.912348,31.887474,31.865322,31.655827,31.7,17.549912,31.4,18.90805
13,34.085096,34.123929,34.16047,34.119132,34.065107,34.026367,33.963894,33.981706,32.122554,31.717849,31.636205,31.595364,31.343269,31.8,17.567108,31.4,18.90805
13.25,34.041433,34.063661,34.131296,34.101476,34.029802,34.034681,33.979482,33.973387,31.944902,31.452624,31.390128,31.335789,31.093014,31.8,17.567108,31.3,18.90805
13.5,34.008166,34.079247,34.126087,34.108746,34.023571,34.026367,33.959737,33.977547,31.766211,31.313251,31.32783,31.201849,30.931024,31.7,17.435272,31.3,18.90805
13.75,34.112126,34.150945,34.187559,34.156522,34.072376,34.0617,34.001305,34.008741,31.766211,31.324692,31.252034,31.172776,30.91441,31.7,17.435272,31.3,18.90805
14,34.054948,34.100029,34.149009,34.129518,34.0568,34.026367,33.997148,34.004581,31.7766,31.371496,31.335098,31.245457,31.028634,31.7,17.435272,31.2,18.90805
14.25,34.016482,34.065739,34.110458,34.084859,34.010072,34.028446,33.982599,33.983785,31.777639,31.472386,31.388051,31.348249,31.157395,31.6,17.418076,31.2,18.90805
14.5,34.105888,34.156141,34.212565,34.160676,34.077568,34.083523,34.001305,34.019139,31.90958,31.578476,31.548988,31.480113,31.324578,31.6,17.418076,31.1,18.90805
14.75,34.109007,34.139515,34.204229,34.154445,34.07653,34.060661,33.992991,34.01082,32.006197,31.708489,31.67566,31.621322,31.487606,31.5,17.40088,31.1,18.90805
