t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
0,117.01294,36.462943,36.283862,35.510856,36.426429,35.613226,29.997267,30.861266,32.4,91.383804,32,89.41579
0.25,36.430434,36.414105,36.288029,35.511895,36.434736,35.643362,29.763447,30.745848,32.4,91.842364,32,89.84703
0.5,36.425236,36.429692,36.327622,35.553439,36.453427,35.694283,29.764486,30.714654,32.4,92.071644,32,90.06265
0.75,36.498008,36.480608,36.389094,35.64899,36.515731,35.770145,29.886073,30.755206,32.4,92.300924,32,90.27827
1,36.503206,36.472295,36.38701,35.659376,36.504309,35.761831,30.035718,30.771843,32.4,92.530204,32,90.38608
1.25,36.449146,36.403714,36.355753,35.646913,36.47731,35.773262,30.263302,30.831112,32.4,92.759484,32,90.6017
1.5,36.416919,36.369424,36.346376,35.672878,36.47108,35.778458,30.51271,30.94549,32.4,92.874124,32,90.70951
1.75,36.5188,36.442161,36.420351,35.725847,36.496002,35.84081,30.809922,31.067146,32.4,93.103404,32,90.92513
2,36.502166,36.42034,36.409932,35.743503,36.494963,35.826262,31.009448,31.127455,32.4,93.218044,32,91.03294
2.25,36.44083,36.336173,36.334915,35.70819,36.450312,35.821066,31.213131,31.229355,32.4,93.447324,32,91.14075
2.5,36.402364,36.306039,36.389094,35.705075,36.433698,35.810674,31.287954,31.25431,32.4,93.561964,32,91.24856
2.75,36.482414,36.354876,36.375549,35.737271,36.465888,35.864712,31.37005,31.302141,32.4,93.676604,32,91.35637
3,36.444988,36.323703,36.358879,35.776738,36.492886,35.861594,31.343031,31.331256,32.4,93.905884,32,91.46418
3.25,36.393008,36.261357,36.330747,35.73104,36.422275,35.820026,31.281718,31.3063,32.4,94.020524,32,91.57199
3.5,36.36078,36.214598,36.311993,35.704036,36.383854,35.811713,31.160132,31.261589,32.4,94.135164,32,91.6798
3.75,36.341028,36.192777,36.270317,35.701959,36.397354,35.784694,30.996978,31.195042,32.4,94.249804,32,91.6798
4,36.354543,36.219793,36.297407,35.73831,36.385931,35.830418,30.904489,31.180485,32.4,94.249804,32.1,91.78761
4.25,36.33479,36.173034,36.280736,35.73104,36.353741,35.818987,30.77251,31.130574,32.4,94.364444,32.1,91.89542
4.5,36.291127,36.1429,36.245312,35.719615,36.303898,35.795086,30.654042,31.078584,32.4,94.479084,32.1,92.00323
4.75,36.260979,36.105492,36.198426,35.692611,36.285206,35.773262,30.582337,31.006838,32.4,94.593724,32,92.00323
5,36.242266,36.089906,36.218222,35.69365,36.28313,35.770145,30.547004,31.021395,32.4,94.708364,32,91.89542
5.25,36.259939,36.087828,36.202594,35.705075,36.262362,35.785733,30.619748,31.060908,32.4,94.823004,31.9,89.5236
5.5,36.246424,36.046264,36.175504,35.68638,36.248862,35.7504,30.550122,31.025554,32.4,94.708364,31.6,83.055
5.75,36.197563,36.010934,36.166127,35.646913,36.200058,35.725459,30.710158,31.008918,32.2,92.037252,31.3,73.67553
